"","person","FK_9","FK_10","FK_11","FK_12","sus_1","sus_2","sus_3","sus_4","Height","Weight","recipe_id","fsa_score","liked_recipes","prepare_recipes","fit_preference","know_many","recommend_recipe","many_to_choose","easy_choice","choice_overwhelming","sys_time","unders_sys","many_actions","under_1","under_2","under_3","n_condition","choice_satisfaction","choice_difficulty","perceived_effort","SFD","Sustain","understand","conditionnoLabel","conditionLabel","conditionHashtags","conditionExplanation"
"50",1056,4,5,5,5,4,4,4,3,177,64,446,6,4,5,5,3,4,1,1,1,1,1,1,5,4,4,0,4.5,1,1,4.75,3.75,4.33333333333333,1,0,0,0
"51",1061,4,4,4,4,3,3,4,4,165,90,1151,5,4,4,4,2,4,2,2,2,2,1,2,3,3,4,0,4,2,1.66666666666667,4,3.5,3.33333333333333,1,0,0,0
"52",1059,3,3,4,4,2,3,4,2,175,90,6345,10,2,1,2,2,2,2,4,1,1,2,1,3,4,4,0,1.75,2.33333333333333,1.33333333333333,3.5,2.75,3.66666666666667,1,0,0,0
"53",1069,2,2,4,2,3,2,2,2,154,65,1005,4,2,2,2,2,3,4,4,4,1,3,2,4,1,4,0,2.25,4,2,2.5,2.25,3,1,0,0,0
"54",1068,4,4,4,5,4,3,2,4,189,78,494,6,5,5,5,2,4,2,1,1,1,1,1,4,4,3,0,4.75,1.33333333333333,1,4.25,3.25,3.66666666666667,1,0,0,0
"55",1072,3,2,4,4,2,2,2,4,70,60,2955,5,2,2,2,4,3,1,3,2,2,4,3,1,2,3,0,2.25,2,3,3.25,2.5,2,1,0,0,0
"56",1075,5,5,5,5,5,5,5,4,167,50,2210,6,4,4,4,1,3,1,1,1,3,3,2,4,2,3,0,3.75,1,2.66666666666667,5,4.75,3,1,0,0,0
"57",1076,3,4,3,5,5,3,4,3,163,63,5569,10,4,4,4,2,5,2,2,1,1,1,3,4,4,4,0,4.25,1.66666666666667,1.66666666666667,3.75,3.75,4,1,0,0,0
"58",1078,4,4,4,4,3,3,4,2,143,59,2329,5,4,4,4,2,4,4,4,4,3,2,2,4,4,4,0,4,4,2.33333333333333,4,3,4,1,0,0,0
"59",1077,4,4,4,4,5,3,3,4,187,72,446,6,4,4,4,1,3,2,2,1,1,1,1,3,2,3,0,3.75,1.66666666666667,1,4,3.75,2.66666666666667,1,0,0,0
"60",1079,4,5,4,5,4,4,5,2,179,88,200,6,5,4,5,2,4,2,2,1,1,2,1,2,2,1,0,4.5,1.66666666666667,1.33333333333333,4.5,3.75,1.66666666666667,1,0,0,0
"61",2005,4,4,4,4,4,3,4,2,160,73,494,6,4,4,3,2,3,3,4,2,2,1,2,4,4,4,1,3.5,3,1.66666666666667,4,3.25,4,0,1,0,0
"62",2006,3,4,3,3,4,4,4,4,162,100,2483,6,4,4,4,3,3,2,2,2,3,1,4,4,4,4,1,3.75,2,2.66666666666667,3.25,4,4,0,1,0,0
"63",2007,2,3,2,2,4,3,4,2,170,77,2483,6,4,4,4,4,4,1,2,1,2,2,4,4,3,2,1,4,1.33333333333333,2.66666666666667,2.25,3.25,3,0,1,0,0
"64",2010,3,4,4,4,3,2,4,3,166,80,494,6,5,4,4,3,4,2,1,1,2,2,2,4,4,4,1,4.25,1.33333333333333,2,3.75,3,4,0,1,0,0
"65",2015,5,5,5,5,4,3,2,2,164,80,2746,5,2,1,4,1,1,4,4,2,1,1,2,5,4,5,1,2,3.33333333333333,1.33333333333333,5,2.75,4.66666666666667,0,1,0,0
"66",2017,3,2,3,4,3,4,4,1,178,60,2955,5,4,4,5,1,4,4,3,1,3,3,3,4,4,5,1,4.25,2.66666666666667,3,3,3,4.33333333333333,0,1,0,0
"67",2008,4,4,3,4,4,4,4,4,180,80,2803,6,4,3,4,3,4,1,2,1,1,2,3,4,3,4,1,3.75,1.33333333333333,2,3.75,4,3.66666666666667,0,1,0,0
"68",2011,4,4,4,5,3,3,3,2,178,79,494,6,5,4,5,3,4,4,5,1,1,1,1,5,5,4,1,4.5,3.33333333333333,1,4.25,2.75,4.66666666666667,0,1,0,0
"69",2042,4,5,4,4,4,2,4,2,186,75,936,4,4,3,3,1,4,3,2,2,2,1,2,5,5,5,1,3.5,2.33333333333333,1.66666666666667,4.25,3,5,0,1,0,0
"70",2019,3,4,3,4,4,4,3,2,157,90,1005,4,4,4,4,4,3,2,2,2,2,2,2,2,3,4,1,3.75,2,2,3.5,3.25,3,0,1,0,0
"71",2023,4,4,3,4,3,4,5,2,163,58,561,6,4,5,4,3,3,2,2,1,2,1,1,3,3,4,1,4,1.66666666666667,1.33333333333333,3.75,3.5,3.33333333333333,0,1,0,0
"72",2053,4,4,3,4,4,4,4,2,6,80,1005,4,4,4,4,3,4,2,2,4,2,2,2,4,4,5,1,4,2.66666666666667,2,3.75,3.5,4.33333333333333,0,1,0,0
"73",2022,4,4,4,4,3,4,4,2,182,127,200,6,4,4,4,2,3,4,2,2,2,2,2,4,3,4,1,3.75,2.66666666666667,2,4,3.25,3.66666666666667,0,1,0,0
"74",2026,5,3,3,5,5,4,4,3,165,111,1005,4,4,4,4,3,3,2,4,3,2,2,4,4,4,2,1,3.75,3,2.66666666666667,4,4,3.33333333333333,0,1,0,0
"75",2055,4,4,4,5,4,4,5,2,158,70,2955,5,5,5,5,1,4,1,1,1,1,2,1,4,4,4,1,4.75,1,1.33333333333333,4.25,3.75,4,0,1,0,0
"76",2048,4,3,4,4,4,4,3,2,155,67,200,6,4,3,4,1,4,4,3,2,2,1,3,5,4,5,1,3.75,3,2,3.75,3.25,4.66666666666667,0,1,0,0
"77",2043,1,1,4,3,1,4,1,2,187,80,561,6,5,5,5,5,5,2,1,3,4,2,4,4,4,5,1,5,2,3.33333333333333,2.25,2,4.33333333333333,0,1,0,0
"78",2024,3,4,3,3,2,4,3,2,188,95,1005,4,4,3,4,5,4,2,2,2,2,2,4,4,3,4,1,3.75,2,2.66666666666667,3.25,2.75,3.66666666666667,0,1,0,0
"79",2061,3,3,4,4,5,2,4,3,165,90,494,6,5,5,5,3,4,2,2,2,1,1,1,5,3,4,1,4.75,2,1,3.5,3.5,4,0,1,0,0
"80",2034,4,4,4,4,2,2,4,4,188,120,2955,5,4,3,4,1,3,4,4,2,1,2,1,4,4,3,1,3.5,3.33333333333333,1.33333333333333,4,3,3.66666666666667,0,1,0,0
"81",2041,3,4,4,4,4,3,4,2,170,57,2955,5,4,4,4,3,4,2,2,2,2,2,2,4,4,4,1,4,2,2,3.75,3.25,4,0,1,0,0
"82",2028,4,4,3,4,4,2,5,2,175,74,3735,10,4,5,4,1,3,2,2,2,2,1,2,3,5,4,1,4,2,1.66666666666667,3.75,3.25,4,0,1,0,0
